id;studyid;reference;lat;lon;mat;map;clay;soc;ph;year;g_crop_type;management;describe;fertilizer_type;crop_residue;tillage;cover_crop_and_crop_rotation;fertilizer_strategy;rfr;rfp;rft;n_dose;replication ;nue_type;nuet_mean;nuet_sd;nuec_mean;nuec_sd;nup_type;nut_mean;nut_sd;nut_0N;nuc_mean;nuc_sd;nuc_0N
1;1;Abalos_2012_Effectiveness;40,55;-3,29;14,23171196;494,9222395;26,72142857;11,50714286;7,792857143;1;wheat;EE;UI;enhanced;no;conventional;no;conventional;no;no;no;120;2;REN;78,33333333;;72,5;;up_total;120;;26;113;;26
2;2;Abalos_2013_Role;40,55;-3,29;14,23171196;494,9222395;26,72142857;11,50714286;7,792857143;1;maize;CF;;combined;yes;conventional;no;conventional;no;no;no;150;3;REN;35,73333333;;30,6;;up_total;68,1;;14,5;80,3;;14,5
3;2;Abalos_2013_Role;40,55;-3,29;14,23171196;494,9222395;26,72142857;11,50714286;7,792857143;1;maize;CF;;combined;no;conventional;no;conventional;no;no;no;150;3;REN;25,33333333;;30,6;;up_total;55,8;;17,8;63,7;;17,8
4;2;Abalos_2013_Role;40,55;-3,29;14,23171196;494,9222395;26,72142857;11,50714286;7,792857143;1;maize;RES;;combined;yes;conventional;no;conventional;no;no;no;150;3;REN;35,73333333;;30,6;;up_total;68,1;;14,5;55,8;;17,8
5;2;Abalos_2013_Role;40,55;-3,29;14,23171196;494,9222395;26,72142857;11,50714286;7,792857143;1;maize;RES;;mineral;yes;conventional;no;conventional;no;no;no;150;3;REN;43,86666667;;30,6;;up_total;80,3;;14,5;63,7;;17,8
6;3;Adeli_2012_Broiler;33,7;-89,33;17,87691053;1281,768631;34,41428571;9,05;5,7;1;maize;RFP;;mineral;no;conventional;no;placement;no;yes;no;337;4;REN;18;;8;;up_total;159;;;129;;
7;3;Adeli_2012_Broiler;33,7;-89,33;17,87691053;1281,768631;34,41428571;9,05;5,7;1;maize;RFP;;mineral;no;conventional;no;placement;no;yes;no;349;4;REN;20;;16;;up_total;168;;;168;;
8;4;Adeyemi_2020_Effect;37,75;-89,06;14,68454399;1207,672076;26,44285714;9,385714286;5,771428571;2;maize;CC;;mineral;no;conventional;yes;conventional;no;no;no;150;3;REN;40,2256;;27,4436;;up_total;162,406;;;203,008;;
9;4;Adeyemi_2020_Effect;37,75;-89,06;14,68454399;1207,672076;26,44285714;9,385714286;5,771428571;2;maize;CC;;mineral;no;conventional;yes;conventional;no;no;no;150;3;REN;16,1654;;16,9173;;up_total;68,5714;;;73,985;;
10;4;Adeyemi_2020_Effect;37,75;-89,06;14,68454399;1207,672076;26,44285714;9,385714286;5,771428571;2;maize;RFP;;mineral;no;conventional;no;placement;no;yes;no;150;3;REN;30;;29;;up_total;210,4;;;205,1;;
