ID,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
1,2,46,124,137,134,345,235,248,203,210,201,822,269,371,54,55,54,484,463,482,313,327,317,1073,275,416,78.4014382376068,35.8949885820698,9.85143696565995,5.94830508653878,2.15718394265264,1.42421631756326,J. Cool temperate and moist,J,J3
2,-3.7492,40.4637,116.728915662651,126.903614457831,124.198795180723,207.280120481928,189.015060240964,191.496987951807,204.069277108434,222.822289156627,200.10843373494,291.228915662651,114.825301204819,118.58734939759,63.6385542168675,65.0240963855422,64.9789156626506,379.91265060241,376.048192771084,384.036144578313,295.557228915663,280.623493975904,295.361445783133,336.042168674699,132.629518072289,141.219879518072,33.0215524371457,27.707301988067,15.3752875780237,6.97547946482465,3.41867822631337,2.05494318875007,K. Warm temperate and mesic,K,K9
3,-2.6189,42.9896,104,124,118,314,186,200,294,336,304,897,255,355,57,58,57,234,250,228,472,414,468,922,338,536,68.3307483799156,37.6347545333626,11.2939657085928,5.61578102253964,2.56982763325689,1.4457661715557,J. Cool temperate and moist,J,J5
4,2.38,48.33,119,135,127,260,155,171,214,282,228,717,138,183,64,66,66,269,265,265,517,453,507,673,133,304,53.3051734052855,26.0929430031813,12.0264370009817,5.78607519969484,2.23275865408881,1.45133008265564,J. Cool temperate and moist,J,J5
5,9.152,54.901,92,123,118,336,218,248,87,77,79,538,288,344,55,57,58,799,818,812,114,105,109,764,746,468,71.1428171779918,35.2041157579559,9.14827604619679,5.94227988826331,1.65545980086357,1.23561421652051,G. Cold and mesic,G,G13
6,-0.596,52.015,103,122,113,305,171,189,346,365,353,660,431,306,64,67,68,266,250,268,388,385,380,860,235,430,54.1715526690428,26.0565741980495,9.98103464039407,4.78067527337906,1.59080462558088,1.05474171034063,J. Cool temperate and moist,J,J5
7,6.994,50.619,111,134,125,271,150,171,220,222,229,581,102,214,54,57,55,195,182,186,585,596,585,757,183,449,72.3885068177492,33.5302051065673,10.4594829530808,6.11780583239564,1.92442531915831,1.3012545523874,J. Cool temperate and moist,J,J3
8,3.754,50.962,130,139,137,215.045112781955,142.258145363409,152.553884711779,191.666666666667,178.298245614035,174.345864661654,374.365914786967,188.897243107769,174.107769423559,50.280701754386,51.1027568922306,51.0300751879699,251.107769423559,265.799498746867,262.320802005013,359.275689223058,357.937343358396,365.31328320802,383,143,190,72.8298865536164,33.6545766371723,10.9017243395163,5.71397985239578,1.94712646660962,1.33088683549271,J. Cool temperate and moist,J,J5
9,1.501,43.527,126.293948126801,142.066282420749,138.665706051873,271.28242074928,197.178674351585,204.475504322767,269.979827089337,306.867435158501,275.35446685879,420.527377521614,139.109510086455,150.391930835735,65.9106628242075,67.2161383285303,67.342939481268,256.371757925072,247.507204610951,251.112391930836,424.628242074928,396.64265129683,424.504322766571,451.979827089337,163.596541786744,157.317002881844,56.7261505017335,27.8334261177336,14.0204025719358,5.98466959296736,2.73247131671029,1.56623514976491,K. Warm temperate and mesic,K,K5
10,9.111,55.471,92,124,115,293,143,165,66,86,65,556,228,217,52,54,54,783,787,795,151,127,140,837,394,418,71.5362081829159,34.6962021384629,8.55948290361584,5.93604219354835,1.57241381884649,1.23252650536428,G. Cold and mesic,G,G13
11,8.192,50.393,120,135,134,263,141,167,265,258,282,566,128,184,65,69,69,192,208,180,543,534,538,524,150,285,58.0505757557935,26.5204416683149,9.92959786476246,6.55897334036187,1.93247129382758,1.35112621878451,J. Cool temperate and moist,J,J3
12,-4.067,48.05,117,127,124,312,242,266,229,242,229,829,280,346,54,54,53,268,264,260,503,494,511,720,254,389,99.5290248202181,57.681550093369,11.7215519177503,3.89417971594494,1.89109198415074,1.04960868031231,J. Cool temperate and moist,J,J4
13,4.233,48.933,129,143,137,297,178,206,300,300,310,612,144,224,73,74,75,223,226,206,477,474,483,489,195,246,59.5169550632608,27.6976106585814,11.3479887046048,6.03343447921739,2.093103489314,1.40956333963768,J. Cool temperate and moist,J,J5
14,9.19,55.47,87,122,116,301,135,168,51,76,51,548,173,238,53,55,55,824,810,829,125,114,120,720,228,402,71.5362081829159,34.6962021384629,8.55948290361584,5.93604219354835,1.57241381884649,1.23252650536428,G. Cold and mesic,G,G13
15,-2.25,57.183,75,93,88,329,167,167,135,131,144,931,330,355,53,56,56,637,693,552,228,176,304,2178,489,965,73.1109207553425,28.3688251800995,8.37729897671219,3.76780338594443,1.390229909927,0.771216319206169,G. Cold and mesic,G,G13
16,11.878,51.394,123,145,136,267,140,162,220,222,214,797,172,164,71,71,72,189,161,189,591,617,597,641,173,166,41.0020120998566,20.8492705423804,9.84655187897727,6.86058498171817,1.95689659066841,1.41312647788659,H. Cool temperate and dry,H,H9
17,11.878,51.393,123,145,136,267,140,162,220,222,214,797,172,164,71,71,72,189,161,189,591,617,597,641,173,166,41.0020120998566,20.8492705423804,9.84655187897727,6.86058498171817,1.95689659066841,1.41312647788659,H. Cool temperate and dry,H,H9
18,-3.173,55.84,73.7331838565022,83.2152466367713,79.1053811659193,321,156,167,106,110,104,1019,301,316,56,58,58,601,642,573,293,249,323,1678.57399103139,697.674887892377,944.652466367713,73.9945413847079,30.4275624750569,8.21523000856583,4.1972920569029,1.37413796251533,0.885599252653833,G. Cold and mesic,G,G13
19,-3.13,55.842,73.0939597315436,82.5838926174497,78.4563758389262,353,139,156,166,172,161,1037,267,428,52,54,54,600,626,565,234,201,274,1643.225950783,675.711409395973,914.308724832215,73.9945413847079,30.4275624750569,8.21523000856583,4.1972920569029,1.37413796251533,0.885599252653833,G. Cold and mesic,G,G13
20,5.562,52.539,98,123,116,341,271,280,228,251,213,537,556,310,67,68,68,427,443,471,345,306,316,756,931,489,66.1821849755515,31.5902301389251,10.1422415604579,5.41414240942833,1.70833336401345,1.14784078480671,J. Cool temperate and moist,J,J3
21,6.647,52.986,104,124,116,273,126,146,51,65,50,442,367,244,51,54,55,740,728,743,210,207,207,1318,860,465,60.9919551833608,28.1827583315555,9.96149441976657,5.62234232325028,1.6643678449394,1.17627627148433,J. Cool temperate and moist,J,J3
22,5.012,51.624,86.7456790123457,102.641975308642,95.9037037037037,230.99012345679,166.582716049383,176.138271604938,188.81975308642,172.098765432099,168.232098765432,408.054320987654,285.879012345679,256.367901234568,46.083950617284,47.5358024691358,47.841975308642,382.8,406.728395061728,406.076543209877,235.765432098765,228.602469135803,233.096296296296,584.298765432099,356.022222222222,330.088888888889,66.0048860010059,30.2508975918163,10.5255749145116,5.5361226275666,1.82183911278844,1.22934114737245,J. Cool temperate and moist,J,J3
23,11.388,55.318,120,151,142,358,164,199,152,160,134,794,221,275,64,67,67,572,570,587,276,270,279,635,226,266,49.4729893152741,23.6127628425076,9.37959788112377,6.06443444793134,1.71465519796415,1.22292613874738,G. Cold and mesic,G,G13
24,4.713,50.563,117.01256281407,123.560301507538,121.143216080402,267,132,151,274,290,304,476,186,169,64,69,69,93,107,88,632,603,608,350.304020100503,130.997487437186,207.030150753769,68.7008632298174,31.5051690879898,10.9172415874213,5.88147999816532,1.98390807898651,1.33637849980221,J. Cool temperate and moist,J,J3
25,5.034,45.819,110.972602739726,125.542465753425,122.134246575342,301,178,199,199,259,215,691,182,249,62,63,63,285,302,283,516,439,502,584.065753424658,199.117808219178,291.838356164384,70.0862080653509,34.9646140039508,12.041954217393,6.62172827304377,2.41522992428007,1.59271514376619,K. Warm temperate and mesic,K,K1
26,9.201,48.738,99.2236842105263,113.26052631579,109.255263157895,262.084210526316,173.25,190.047368421053,256.05,275.592105263158,273.302631578947,531.873684210526,148.007894736842,235.71052631579,50.4,51.9605263157895,51.9315789473684,180.921052631579,179.789473684211,169.418421052632,413.023684210526,394.618421052632,407.278947368421,566.402631578947,197.231578947368,306.368421052632,55.2281617359526,27.7767526380592,10.1885059149615,6.89100709037758,1.9537356649579,1.36454188006425,J. Cool temperate and moist,J,J3
27,8.546,48.572,81,105,96,322,282,310,265,249,256,640,195,384,51,54,53,346,354,353,388,397,390,1032,637,857,68.2410932494991,32.0364264592781,9.82758634914269,6.76639338277872,1.96149428946705,1.34877898478207,G. Cold and mesic,G,G13
28,8.05,49.033,101.446753246753,115.654545454545,111.446753246753,257,156,175,224,253,225,505,119,194,65,68,69,199,192,173,577,556,601,607.618181818182,182.464935064935,302.657142857143,56.812644661158,26.4840264208297,11.3114944366717,6.86749738815831,2.11178164269732,1.46519831306612,J. Cool temperate and moist,J,J5
29,9.082,49.05,131,140,138,226.968586387435,154.282722513089,169.696335078534,241.039267015707,255.450261780105,253.13612565445,486.371727748691,136.630890052356,209.623036649215,50.8298429319372,52.7931937172775,52.8219895287958,186.589005235602,190.578534031414,173.840314136126,420.55497382199,402.159685863874,421.183246073298,396,150,219,51.5764377583032,24.9579332012439,10.4666668577227,6.91033849140439,1.98764371233939,1.40225928620634,J. Cool temperate and moist,J,J5
30,9.083,49.05,131,140,138,227.151436031332,154.383812010444,169.791122715405,241.221932114883,255.671018276762,253.321148825065,486.994778067885,136.691906005222,209.788511749347,50.8355091383812,52.798955613577,52.8276762402089,186.702349869452,190.647519582245,173.976501305483,420.657963446475,402.266318537859,421.258485639687,396,150,219,51.5764377583032,24.9579332012439,10.4666668577227,6.91033849140439,1.98764371233939,1.40225928620634,J. Cool temperate and moist,J,J5
31,10.4515,51.1657,119,136,130,313,144,170,275,282,303,683,186,207,53,55,54,168,184,154,557,534,543,555,287,281,54.3416676774792,24.3073341176035,8.78477025680758,6.51265886545757,1.74827589073229,1.27166978467988,H. Cool temperate and dry,H,H5
32,9.125,54.9,92,123,118,336,218,248,87,77,79,538,288,344,55,57,58,799,818,812,114,105,109,764,746,468,71.1428171779918,35.2041157579559,9.14827604619679,5.94227988826331,1.65545980086357,1.23561421652051,G. Cold and mesic,G,G13
33,15.5592,43.956,136,153,149,256,206,214,364,399,384,370,192,183,77,78,77,331,317,319,305,284,297,454,209,244,79.0528749842411,48.4118354244147,15.3902301945906,6.73574217627931,2.73017246404599,1.57759275967624,K. Warm temperate and mesic,K,K6
34,-6.9707,38.8794,139,146,141,190.513846153846,146.086153846154,156.430769230769,180.12,197.030769230769,182.046153846154,242.750769230769,116.787692307692,142.910769230769,61.3784615384615,59.3076923076923,62.0923076923077,474.467692307692,506.310769230769,464.116923076923,320.716923076923,272.08,329.218461538462,247,93,108,44.5215525153339,46.1220219483311,17.1847703867945,6.1711025360971,3.69252879438044,2.05033251706455,L. Warm temperate and xeric,L,L4
35,12.6632,52.1013,133,151,142,298,165,190,131,163,97,571,205,170,61,64,63,606,562,633,264,275,269,590,111,170,45.7724145952312,22.9688352358428,10.21752890026,7.00744428841739,2.09310347933708,1.55073977758391,H. Cool temperate and dry,H,H9
36,9.5018,56.2639,84,127,116,252,134,168,112,156,115,433,161,191,61,61,61,652,624,662,236,220,223,683,358,353,59.6152308165342,28.0009168650206,8.28534495220359,6.04418306041233,1.56321841596101,1.24811005412387,G. Cold and mesic,G,G13
37,13.1892,51.0495,130,147,138,315,186,203,211,217,225,979,254,234,62,63,64,257,274,252,532,509,522,739,119,234,42.8571845693835,21.5307739602524,10.1913794789292,7.18339719941091,2.20086210865485,1.5829511094378,H. Cool temperate and dry,H,H5
38,13.1333,58.35,90,125,114,335,195,252,323,311,323,921,175,296,58,61,60,333,349,329,344,340,347,1089,342,354,57.6255756095908,27.1442166657084,6.83103456463793,7.01212314013762,1.58735635219377,1.44944031054771,G. Cold and mesic,G,G12
39,13.1167,55.6667,115,138,131,313,255,263,171,254,154,883,407,312,67,68,67,563,497,574,267,249,272,804,378,372,57.4318975181073,27.8954058462076,8.61867831388339,6.44374216956253,1.68764370656305,1.36740239400723,G. Cold and mesic,G,G13
