ID,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
1,9.933,51.483,103.204433497537,123.199507389163,114.546798029557,277.51724137931,153.238916256158,186.857142857143,242.302955665025,277.933497536946,248.554187192118,567.216748768473,204.773399014778,241.214285714286,53.371921182266,54.9137931034483,54.6847290640394,226.943349753695,261.916256157636,215.87684729064,474.110837438424,403.470443349754,478.960591133005,683.576354679803,225.527093596059,360.051724137931,60.6405182734303,26.3891562688313,8.72758636889101,6.52576709584654,1.72126439258713,1.25585964231131,H. Cool temperate and dry,H,H5
2,9.883,51.617,101.710784313725,121.90931372549,113.073529411765,306,141,195,262,313,264,606,135,198,64,67,67,298,354,288,439,333,448,708.921568627451,239.566176470588,380.286764705882,61.150863004827,27.3122840456133,8.77701165238074,6.38712154316081,1.72097703559731,1.24927284779861,H. Cool temperate and dry,H,H5
3,10.7833333333333,50.9833333333333,128,148,139,311,175,205,276,277,285,904,195,219,71,71,72,166,174,161,558,549,554,744,159,231,50.4695410432144,23.4255188699868,8.5905173881429,6.67210616686584,1.80574715255235,1.29617984608151,H. Cool temperate and dry,H,H5
4,3.33,50.33,135,142,139,246,137,163,238,275,261,524,178,173,71,73,74,144,144,132,617,581,606,340,149,178,64.1359207109473,29.4243068632641,11.035919715083,5.6384643895132,1.94942531854599,1.30469104666526,J. Cool temperate and moist,J,J5
5,33.25,50.35,111,135,122,365,306,308,279,287,286,853,172,198,68,68,68,251,262,245,470,451,469,951,226,180,48.7359203977146,24.9695323460464,8.71867832096144,9.6935210714831,2.10000003202037,1.67894232930465,H. Cool temperate and dry,H,H9
6,2.4,48.3,132,142,136,251,172,190,315,354,350,562,151,151,69,71,70,242,230,229,443,416,422,387,126,146,53.3051734052855,26.0929430031813,12.0264370009817,5.78607519969484,2.23275865408881,1.45133008265564,J. Cool temperate and moist,J,J5
7,3.32,50.37,135,142,139,246,137,163,238,275,261,524,178,173,71,73,74,144,144,132,617,581,606,340,149,178,64.1359207109473,29.4243068632641,11.035919715083,5.6384643895132,1.94942531854599,1.30469104666526,J. Cool temperate and moist,J,J5
8,3.32,50.48,132,139,137,275,173,203,246,251,257,571,174,162,70,71,71,213,224,214,541,526,529,326,168,185,64.1359207109473,29.4243068632641,11.035919715083,5.6384643895132,1.94942531854599,1.30469104666526,J. Cool temperate and moist,J,J5
9,-6.9,52.8,91,107,100,279,163,182,209,219,215,751,300,417,59,59,59,418,435,411,374,347,373,1231,510,882,90.3212659934471,41.5027019877969,9.65402316259242,3.74831550751211,1.47931037081042,0.915746091227187,J. Cool temperate and moist,J,J3
10,10.3,43.7,57.7832369942197,66.0086705202312,63.0346820809249,135.260115606936,100.21387283237,109.057803468208,139.274566473988,150.598265895954,139.919075144509,260.696531791908,110.985549132948,122.323699421965,32.7369942196532,33.135838150289,33.1242774566474,156.56936416185,152.179190751445,153.037572254335,183.924855491329,177,186.803468208092,391.624277456647,140.861271676301,181.205202312139,68.4129322294531,46.8750721792583,14.7836209330066,6.01418999975339,2.52241383904013,1.39893454578397,K. Warm temperate and mesic,K,K10
11,5.2,50.47,131,141,138,293,150,186,248,281,271,604,195,281,63,65,66,121,120,114,632,599,615,685,149,286,73.441093332466,33.9475895073014,10.0991381215809,5.9404320401691,1.91695405444366,1.33698226558315,J. Cool temperate and moist,J,J3
12,4.34,50.38,138,140,139,272,142,165,214,238,229,482,148,196,65,69,69,137,126,122,649,637,649,416,150,177,73.5614954274276,34.1918775574875,10.9936783828869,5.8063183883367,1.95689658582981,1.31358833084437,J. Cool temperate and moist,J,J3
13,5.15,50.34,130,137,137,291,135,169,239,287,271,636,211,289,55,58,58,144,140,126,617,572,603,609,257,356,73.441093332466,33.9475895073014,10.0991381215809,5.9404320401691,1.91695405444366,1.33698226558315,J. Cool temperate and moist,J,J3
14,-7.5,43.1,107.790697674419,119.386627906977,114.718023255814,311,265,299,148,161,145,807,227,376,51,51,51,503,505,506,349,335,349,911.127906976744,393.71511627907,636.316860465116,90.3836225038287,60.4854443551197,11.6494254922045,4.38763330363217,2.31810349174615,1.18620306578621,K. Warm temperate and mesic,K,K1
15,3.29,50.46,132,141,137,263,132,145,254,244,248,560,288,204,69,71,70,262,288,270,483,468,482,353,149,217,64.1359207109473,29.4243068632641,11.035919715083,5.6384643895132,1.94942531854599,1.30469104666526,J. Cool temperate and moist,J,J5
16,-3.183,55.867,73.3612334801762,82.7863436123348,78.7290748898679,321,156,167,106,110,104,1019,301,316,56,58,58,601,642,573,293,249,323,1654.50440528634,676.319383259912,913.337004405286,73.9945413847079,30.4275624750569,8.21523000856583,4.1972920569029,1.37413796251533,0.885599252653833,G. Cold and mesic,G,G13
17,-4.5,37.8,137,151,148,229,202,201,364,344,382,192,101,124,78,79,80,210,240,203,426,415,416,299,127,116,38.6614949610298,39.0404779799539,17.3080462902442,6.72558405392628,3.84281615313442,2.13354711189667,L. Warm temperate and xeric,L,L5
18,1.3,41.8,133,147,141,262,221,231,287,315,289,301,113,171,76,77,78,222,222,221,491,463,491,378,134,174,49.9755755221022,30.4903221602433,13.9965519624195,6.13232007514551,3.06637936059771,1.62981644187216,K. Warm temperate and mesic,K,K5
19,0.8,41.7,136,147,145,223,202,203,296,332,291,338,128,196,76,78,78,224,208,224,479,460,485,374,136,166,42.4954028811263,26.4417775720751,15.1994255267341,6.64673874768362,3.36637935624726,1.90847998532451,K. Warm temperate and mesic,K,K9
20,1.1,41.8,139,150,146,232,196,214,239,303,236,299,116,161,76,79,79,228,212,227,533,485,537,342,129,146,49.9755755221022,30.4903221602433,13.9965519624195,6.13232007514551,3.06637936059771,1.62981644187216,K. Warm temperate and mesic,K,K9
21,19.5,45.19,126,144,139,253,228,226,297,293,281,617,155,171,68,69,68,356,371,338,347,336,381,389,113,242,52.8836215940015,28.9384471485153,12.4890806464072,8.17238959228712,2.45316096360999,1.642261182371,I. Cool temperate and xeric,I,I4
22,-4,50.8,106,119,116,276,211,249,200,215,210,685,312,462,60,60,60,248,252,248,552,533,542,858,364,528,123.286783596565,66.8614931388781,10.07902315396,4.09457259942678,1.54913795790796,0.972933042551161,J. Cool temperate and moist,J,J4
23,23.5,60.8,72,123,109,576,174,283,352,335,354,1094,190,317,51,54,54,263,253,265,385,413,381,1356,350,496,47.6692537233747,26.7016978854678,5.08965526820942,8.40212397819096,1.37011496891835,1.36175554347093,G. Cold and mesic,G,G9
24,14.3,50.1,126,138,131,268,176,192,258,306,275,515,187,239,66,68,68,295,266,283,447,428,443,460,135,206,42.8505754947834,25.979707130694,9.63591974883758,7.49125945230893,2.21235636219211,1.60228304043358,H. Cool temperate and dry,H,H5
25,13.5,37.6,129,140,135,203,168,178,359,342,403,315,165,226,72,72,73,252,282,225,388,376,372,460,207,260,45.019541052609,33.4369104041175,16.6916669497545,5.6881813444068,3.18850580234637,1.61831560857992,K. Warm temperate and mesic,K,K5
26,-3.36666666666667,40.4833333333333,118.404255319149,128.838905775076,126.142857142857,211.814589665654,200.443768996961,198.960486322188,214.851063829787,238.145896656535,217.382978723404,277.635258358663,106.93009118541,107.924012158055,66.7720364741641,68.6626139817629,68.790273556231,328.158054711246,326.337386018237,327.607902735562,356.711246200608,335.203647416413,354.732522796353,301.158054711246,115.173252279635,118.489361702128,34.5479889498574,27.672798670667,14.8066094730092,6.83749947083141,3.26235638524609,1.95929537338722,K. Warm temperate and mesic,K,K9
27,6.6,49.9,126,137,133,265,153,171,283,296,282,551,166,256,62,64,64,215,216,209,502,489,509,600,161,228,66.1491390083028,30.8807140831362,10.0321840528913,6.37664596145971,1.98994255915884,1.38061383673602,J. Cool temperate and moist,J,J3
28,8.54638888888889,48.5716666666667,81,105,96,322,282,310,265,249,256,640,195,384,51,54,53,346,354,353,388,397,390,1032,637,857,68.2410932494991,32.0364264592781,9.82758634914269,6.76639338277872,1.96149428946705,1.34877898478207,G. Cold and mesic,G,G13
29,13.177108,51.168322,131,145,138,344,159,194,186,187,195,559,126,165,66,67,67,274,283,269,540,530,536,462,140,199,42.8571845693835,21.5307739602524,10.1913794789292,7.18339719941091,2.20086210865485,1.5829511094378,H. Cool temperate and dry,H,H5
30,13,43.5,132,144,141,278,211,225,374,395,384,379,156,156,76,76,76,244,242,232,383,362,384,539,197,203,71.18218526758,38.6882644468932,12.3221266492345,6.62332794072221,2.44942532916521,1.44946567692119,K. Warm temperate and mesic,K,K5
31,6.217,46.4,121,138,136,350,220,258,248,271,244,701,186,350,66,68,67,378,357,376,373,372,380,729,233,350,80.147127965401,38.4228111649764,10.1721265989345,6.52419133541378,2.09022991496256,1.36905570888728,J. Cool temperate and moist,J,J3
32,15.5,49.8,118,136,128,245,197,196,232,261,255,456,196,167,65,66,66,312,291,299,456,448,446,405,131,204,54.7169549749501,29.7890440766099,8.68045995491503,7.45415729691896,2.12298854147138,1.45769953918961,H. Cool temperate and dry,H,H5
33,9.8,48.0833333333333,108.206349206349,123.772486772487,118.219576719577,273,178,203,221,231,230,495,189,210,64,64,64,301,295,295,479,474,475,594.679894179894,248.613756613757,352.478835978836,68.0816103210566,34.4803012387085,9.20057490333144,6.96984047302749,1.87298853592626,1.31686697896245,G. Cold and mesic,G,G13
34,8.63333333333333,49.45,129,142,134,240,175,189,289,295,303,449,146,160,69,72,73,255,267,242,456,438,455,522,137,162,56.1005757440781,26.2576124790375,10.9129312618625,6.8993364401994,2.04310348469379,1.42936824653754,J. Cool temperate and moist,J,J5
